"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2019","71.294","71.987","72.031","71.256","50.84K","-0.90%"
"09/17/2019","71.941","72.103","72.494","71.747","53.94K","-0.18%"
"09/16/2019","72.072","71.776","72.529","71.769","53.85K","0.60%"
"09/13/2019","71.643","71.647","72.063","71.556","53.11K","0.04%"
"09/12/2019","71.612","72.096","72.118","71.531","63.45K","-0.61%"
"09/11/2019","72.054","72.451","72.521","71.993","41.05K","-0.53%"
"09/10/2019","72.435","72.335","72.731","72.233","34.16K","0.18%"
"09/09/2019","72.307","72.537","72.581","72.186","39.54K","-0.31%"
"09/06/2019","72.529","72.950","73.035","72.275","53.23K","-0.52%"
"09/05/2019","72.907","73.394","73.451","72.719","59.62K","-0.63%"
"09/04/2019","73.370","73.135","73.486","72.823","57.91K","0.36%"
"09/03/2019","73.110","72.652","73.261","72.477","52.28K","0.68%"
"09/02/2019","72.613","72.197","72.733","72.098","33.51K","0.64%"
"08/30/2019","72.151","72.664","72.738","72.040","53.29K","-0.66%"
"08/29/2019","72.631","73.168","73.546","72.581","55.36K","-0.67%"
"08/28/2019","73.118","72.888","73.284","72.748","52.55K","0.35%"
"08/27/2019","72.864","73.540","73.630","72.567","53.15K","-0.94%"
"08/26/2019","73.557","73.497","74.150","73.144","65.40K","0.30%"
"08/23/2019","73.340","73.115","73.463","72.522","53.54K","0.35%"
"08/22/2019","73.087","72.712","73.277","72.657","50.07K","0.55%"
"08/21/2019","72.684","73.159","73.207","72.657","44.39K","-0.61%"
"08/20/2019","73.130","72.790","73.379","72.765","43.37K","0.52%"
"08/19/2019","72.755","72.815","73.122","72.519","38.52K","0.07%"
"08/16/2019","72.706","73.546","73.576","72.454","46.00K","-1.09%"
"08/15/2019","73.506","73.230","73.693","73.047","56.38K","0.41%"
"08/14/2019","73.203","73.126","73.441","72.580","61.67K","0.14%"
"08/13/2019","73.102","73.540","74.003","73.027","55.59K","-0.57%"
"08/12/2019","73.523","73.047","73.666","72.840","46.31K","0.87%"
"08/09/2019","72.889","72.233","73.058","72.207","49.89K","0.93%"
"08/08/2019","72.215","72.947","73.067","72.160","57.60K","-0.95%"
"08/07/2019","72.909","72.753","73.461","72.278","64.75K","0.25%"
"08/06/2019","72.724","72.748","72.996","72.250","62.95K","0.01%"
"08/05/2019","72.716","70.912","72.895","70.818","59.95K","2.49%"
"08/02/2019","70.946","69.693","70.980","69.648","58.53K","1.84%"
"08/01/2019","69.667","69.284","69.803","69.041","55.21K","0.58%"
"07/31/2019","69.262","69.526","69.630","69.217","44.80K","-0.34%"
"07/30/2019","69.499","69.337","69.603","69.264","41.01K","0.25%"
"07/29/2019","69.325","69.373","69.484","69.225","31.40K","0.03%"
"07/26/2019","69.307","69.683","69.852","69.243","37.02K","-0.49%"
"07/25/2019","69.649","70.037","70.099","69.565","42.82K","-0.53%"
"07/24/2019","70.020","70.063","70.113","69.886","38.38K","-0.02%"
"07/23/2019","70.032","70.187","70.218","69.964","37.68K","-0.21%"
"07/22/2019","70.176","70.016","70.330","69.969","36.35K","0.09%"
"07/19/2019","70.112","70.168","70.221","69.868","46.35K","-0.05%"
"07/18/2019","70.148","69.725","70.202","69.666","47.32K","0.66%"
"07/17/2019","69.687","69.494","69.794","69.460","41.04K","0.32%"
"07/16/2019","69.467","69.620","69.806","69.406","42.03K","-0.21%"
"07/15/2019","69.612","69.674","69.845","69.512","33.97K","-0.03%"
"07/12/2019","69.636","69.094","69.755","69.059","40.45K","0.83%"
"07/11/2019","69.063","69.135","69.487","69.055","47.35K","-0.06%"
"07/10/2019","69.104","69.004","69.323","68.953","45.13K","0.18%"
"07/09/2019","68.978","68.994","69.259","68.880","42.87K","0.00%"
